Date,Open,High,Low,Close,Adj Close,Volume
2022-07-21,41.580002,41.950001,41.230000,41.939999,40.804680,5243600
2022-07-22,42.169998,42.509998,41.939999,42.259998,41.116020,3791600
2022-07-25,42.259998,42.549999,42.064999,42.290001,41.145210,3131300
2022-07-26,42.330002,42.645000,42.209999,42.369999,41.223042,3006400
2022-07-27,42.430000,42.689999,42.099998,42.599998,41.446815,5156000
2022-07-28,43.049999,44.230000,42.880001,44.169998,42.974316,5375700
2022-07-29,44.180000,44.540001,43.990002,44.340000,43.139713,3523300
2022-08-01,44.139999,44.240002,43.770000,43.939999,42.750542,4102700
2022-08-02,43.980000,44.070000,43.330002,43.360001,42.186245,3477300
2022-08-03,43.630001,43.959999,43.529999,43.540001,42.361374,3208100
2022-08-04,43.630001,43.755001,43.310001,43.580002,42.400288,3236400
2022-08-05,43.259998,43.759998,43.099998,43.720001,42.536499,3320200
2022-08-08,44.130001,44.509998,43.810001,44.040001,42.847839,4055100
2022-08-09,44.200001,44.389999,43.939999,44.389999,43.188362,2368400
2022-08-10,44.889999,45.070000,44.619999,44.990002,43.772121,3617200
2022-08-11,45.220001,45.310001,44.634998,44.779999,43.567802,2815500
2022-08-12,45.060001,45.569000,44.990002,45.540001,44.307228,2392600
2022-08-15,45.500000,45.865002,45.389999,45.740002,44.501816,3296500
2022-08-16,45.520000,45.814999,45.430000,45.560001,44.326691,3279000
2022-08-17,45.139999,45.701000,45.110001,45.430000,44.200211,3331300
2022-08-18,45.509998,45.580002,44.860001,45.119999,43.898602,1654800
2022-08-19,45.020000,45.080002,44.535000,44.680000,43.470512,3202300
2022-08-22,44.340000,44.369999,43.709999,43.750000,42.565685,3430400
2022-08-23,43.639999,43.709999,42.930000,43.090000,41.923553,2800000
2022-08-24,43.169998,43.665001,43.090000,43.430000,42.254349,3277100
2022-08-25,43.630001,44.110001,43.450001,44.099998,42.906212,1713900
2022-08-26,44.130001,44.130001,42.959999,42.980000,41.816528,2725600
2022-08-29,42.740002,43.040001,42.500000,42.610001,41.456547,2492900
2022-08-30,42.689999,42.759998,41.869999,42.000000,40.863060,3539400
2022-08-31,42.230000,42.459999,41.750000,41.849998,40.717121,4646700
2022-09-01,41.529999,42.009998,41.240002,42.000000,40.863060,5343200
2022-09-02,42.349998,42.445000,41.185001,41.279999,40.162552,3911300
2022-09-06,41.389999,41.919998,41.259998,41.709999,40.580910,6399500
2022-09-07,41.720001,42.580002,41.695000,42.509998,41.359253,4618500
2022-09-08,42.259998,42.750000,42.139999,42.630001,41.476006,4505200
2022-09-09,42.790001,43.195000,42.520000,43.040001,41.874905,2909100
2022-09-12,43.200001,43.474998,43.110001,43.400002,42.225163,2802400
2022-09-13,42.560001,42.716999,41.599998,41.750000,40.619827,4139500
2022-09-14,41.599998,41.689999,40.950001,41.240002,40.123631,4143900
2022-09-15,41.189999,41.282001,40.290001,40.340000,39.247993,6227200
2022-09-16,40.029999,40.380001,39.865002,40.349998,39.257725,6045400
2022-09-19,39.619999,39.910000,39.270000,39.910000,39.183109,4129400
2022-09-20,39.540001,39.560001,38.669998,38.860001,38.152233,6259200
2022-09-21,39.169998,39.415001,38.270000,38.290001,37.592617,9215800
2022-09-22,38.160000,38.180000,37.775002,37.930000,37.239170,6380200
2022-09-23,37.540001,37.750000,37.014999,37.459999,36.777729,7329900
2022-09-26,37.240002,37.270000,36.055000,36.450001,35.786129,10027200
2022-09-27,36.790001,37.055000,35.902000,35.970001,35.314869,10794400
2022-09-28,36.240002,36.799999,35.919998,36.650002,35.982483,7304200
2022-09-29,36.330002,36.330002,35.419998,35.630001,34.981064,7684000
2022-09-30,35.790001,36.270000,35.720001,36.009998,35.354137,7700800
2022-10-03,36.580002,36.900002,35.990002,36.680000,36.011940,11620000
2022-10-04,37.090000,37.599998,36.980000,37.259998,36.581371,8889900
2022-10-05,36.770000,36.830002,35.980000,36.570000,35.903942,7074300
2022-10-06,36.450001,36.580002,35.320000,35.369999,34.725796,8933000
2022-10-07,35.029999,35.259998,34.334999,34.529999,33.901093,6487600
